uid	username	nodes	cur nodes	ways	cur ways	relations	cur rels	first	last	days active	total edits	current objects	avg edits/day
25596	Pim van den Broek	9	0	19	0	0	0	01/29/2008	01/29/2008	1	28	0	28
42123	Ropino	2	1	1	1	25	0	08/04/2008	03/27/2011	966	28	2	0.028985507246376812
228141	Jeroen van der Wal	21	17	7	5	0	0	02/02/2010	02/02/2010	1	28	22	28
499763	Maarten Admiraal	20	19	8	8	0	0	08/02/2011	08/02/2011	1	28	27	28
81199	christianf	22	18	6	4	0	0	09/28/2009	09/28/2009	1	28	22	28
189464	Cpl_Uhl	22	5	5	0	0	0	12/16/2009	12/16/2009	1	27	5	27
296331	_bp	26	26	1	1	0	0	09/18/2011	09/18/2011	1	27	27	27
445176	FrankBouwhuis	27	25	0	0	0	0	04/26/2011	04/27/2011	1	27	25	27
110263	werner2101	1	1	0	0	25	22	01/24/2010	01/21/2011	363	26	23	0.07162534435261708
47733	Jasper Hauser	17	8	8	2	0	0	06/25/2008	08/04/2010	771	25	10	0.0324254215304799
186601	JdH	0	0	0	0	25	0	11/15/2009	08/07/2011	631	25	0	0.039619651347068144
35598	ReLuc	0	0	0	0	25	0	07/24/2009	09/10/2009	49	25	0	0.5102040816326531
52921	t-i	0	0	2	0	23	0	09/06/2009	12/10/2010	461	25	0	0.05422993492407809
29061	KPG	24	12	0	0	1	0	12/07/2010	12/07/2010	1	25	12	25
31231	Andre68	6	1	5	0	13	0	09/17/2008	09/05/2010	718	24	1	0.033426183844011144
261620	shafr	0	0	0	0	24	0	04/25/2010	11/26/2010	215	24	0	0.11162790697674418
376561	weggelegd	0	0	0	0	24	0	01/05/2011	08/23/2011	230	24	0	0.10434782608695652
48581	Seat Ibiza	0	0	0	0	24	0	03/21/2009	04/02/2010	377	24	0	0.0636604774535809
152744	skyper	0	0	4	0	19	0	05/18/2010	06/09/2010	22	23	0	1.0454545454545454
138477	Dutch Hoekstra	0	0	23	3	0	0	07/04/2009	07/04/2009	1	23	3	23
36694	neufeind	15	0	8	4	0	0	07/31/2008	09/28/2009	424	23	4	0.054245283018867926
200402	BMV	23	1	0	0	0	0	11/22/2009	11/22/2009	1	23	1	23
30099	Clinton Gladstone	0	0	0	0	23	0	04/01/2009	04/03/2009	2	23	0	11.5
20000	Marijn	22	19	0	0	0	0	08/23/2009	06/17/2011	663	22	19	0.033182503770739065
5926	c2r	0	0	0	0	22	0	02/21/2010	02/25/2010	4	22	0	5.5
119785	trekki	18	18	3	3	0	0	06/19/2010	06/19/2010	1	21	21	21
156981	tgbit	16	6	4	0	0	0	06/27/2010	06/27/2010	1	20	6	20
506256	Blauwe Fiets	16	11	4	3	0	0	08/17/2011	09/04/2011	19	20	14	1.0526315789473684
8335	UrSuS	0	0	0	0	20	0	09/29/2008	10/13/2009	379	20	0	0.052770448548812667
236926	cpreuss	19	9	1	0	0	0	09/30/2010	09/30/2010	1	20	9	20
187610	Emilien	14	2	5	1	0	0	05/02/2010	05/02/2010	1	19	3	19
329962	edred	18	16	1	1	0	0	08/07/2010	08/08/2010	2	19	17	9.5
346345	RutgerNijlunsing	18	17	0	0	0	0	09/07/2011	09/14/2011	7	18	17	2.5714285714285716
44487	leatos	17	14	1	1	0	0	06/07/2008	06/07/2008	1	18	15	18
30140	gps60	18	0	0	0	0	0	04/15/2008	04/15/2008	1	18	0	18
8943	Fopper	0	0	0	0	18	0	01/21/2008	07/11/2011	1268	18	0	0.014195583596214511
87062	KaChing_Cacher	15	15	3	3	0	0	08/18/2011	08/18/2011	1	18	18	18
39086	AlexeyS	0	0	0	0	18	0	05/19/2010	09/08/2011	477	18	0	0.03773584905660377
158761	Lennart Huizing	9	1	9	1	0	0	08/16/2009	08/16/2009	1	18	2	18
209266	ghard	18	9	0	0	0	0	12/17/2009	12/17/2009	1	18	9	18
220476	menu	11	4	7	1	0	0	01/17/2010	01/17/2010	1	18	5	18
253082	Mcke	0	0	0	0	18	1	10/31/2010	08/23/2011	297	18	1	0.06060606060606061
3059	user_3059	16	0	1	0	0	0	03/10/2008	03/10/2008	1	17	0	17
19189	whittier	8	1	9	0	0	0	11/15/2007	11/15/2007	1	17	1	17
110076	GPS-Marco	0	0	0	0	17	0	04/08/2009	12/30/2010	632	17	0	0.02689873417721519
16699	Ben Op Weg	0	0	17	0	0	0	11/11/2007	11/11/2007	1	17	0	17
31118	Lulu-Ann	13	0	4	0	0	0	07/08/2009	07/23/2009	15	17	0	1.1333333333333333
87879	src1138	14	4	3	1	0	0	03/30/2009	03/30/2009	1	17	5	17
138682	wiag	13	2	3	0	0	0	06/24/2009	06/24/2009	1	16	2	16
505199	ru-Spider	4	4	12	12	0	0	08/12/2011	08/12/2011	1	16	16	16
82165	JJI	11	1	5	0	0	0	11/27/2008	11/27/2008	1	16	1	16
144329	wgiedtj	10	4	6	0	0	0	10/31/2009	10/31/2009	1	16	4	16
63375	Divjo	0	0	0	0	16	0	12/24/2008	01/03/2009	10	16	0	1.6
37444	ijsb	0	0	5	4	11	0	11/30/2009	09/05/2011	645	16	4	0.024806201550387597
1337	OJW	9	1	7	0	0	0	07/13/2009	07/13/2009	1	16	1	16
112502	woj	10	4	6	3	0	0	06/01/2010	06/01/2010	1	16	7	16
76046	samsul	13	0	3	0	0	0	10/28/2008	10/28/2008	1	16	0	16
72700	daswaldhorn	0	0	0	0	16	0	12/18/2008	08/12/2011	967	16	0	0.016546018614270942
467436	Wimbakker	11	11	5	5	0	0	06/08/2011	06/08/2011	1	16	16	16
57971	Vithar	0	0	16	0	0	0	08/07/2008	08/07/2008	1	16	0	16
31605	hatzfeld	0	0	0	0	16	0	08/11/2008	02/28/2009	201	16	0	0.07960199004975124
448029	Volucris	9	9	6	4	0	0	05/09/2011	05/09/2011	1	15	13	15
26139	dieterdreist	1	1	0	0	14	0	07/17/2009	11/22/2010	494	15	1	0.030364372469635626
32786	Netzwolf	0	0	0	0	15	0	08/30/2008	02/28/2010	548	15	0	0.02737226277372263
8030	rduivenvoorde	14	12	1	0	0	0	05/20/2007	06/21/2007	32	15	12	0.46875
30059	itserik	0	0	0	0	15	0	11/16/2010	11/16/2010	1	15	0	15
55462	Lübeck	0	0	0	0	15	0	04/06/2009	04/26/2010	385	15	0	0.03896103896103896
2680	xylome	3	0	4	4	8	0	07/17/2009	07/14/2011	727	15	4	0.02063273727647868
78656	Walter Schlögl	15	8	0	0	0	0	02/25/2010	10/30/2010	248	15	8	0.06048387096774194
127170	Ilis	0	0	0	0	15	0	06/03/2009	11/10/2010	526	15	0	0.028517110266159697
98844	tny	15	1	0	0	0	0	02/10/2009	02/10/2009	1	15	1	15
39688	Math1985	6	6	8	7	0	0	07/30/2011	09/08/2011	40	14	13	0.35
166129	BugBuster	0	0	14	4	0	0	09/22/2009	11/17/2009	56	14	4	0.25
207745	NE2	12	9	2	2	0	0	08/06/2010	08/07/2010	1	14	11	14
12837	flschm	0	0	0	0	14	0	09/05/2008	09/05/2008	1	14	0	14
316868	LexIgnatov	0	0	0	0	14	0	09/27/2010	06/24/2011	271	14	0	0.05166051660516605
127494	chilin	0	0	0	0	14	0	12/20/2009	06/07/2010	170	14	0	0.08235294117647059
12140	Dalkvist	11	0	3	0	0	0	03/11/2009	03/11/2009	1	14	0	14
159534	Peter-almere-nl	0	0	0	0	14	0	09/08/2010	01/08/2011	122	14	0	0.11475409836065574
185687	apollinaire	8	6	6	4	0	0	11/19/2010	05/26/2011	188	14	10	0.07446808510638298
46989	Michiel Faber	4	4	2	1	8	0	12/02/2010	06/05/2011	186	14	5	0.07526881720430108
79836	Hind	0	0	0	0	14	0	05/23/2009	07/29/2011	798	14	0	0.017543859649122806
44671	Thomas1950	1	0	0	0	13	0	03/01/2009	05/31/2009	91	14	0	0.15384615384615385
93505	Nolbelt San	10	2	3	1	0	0	08/06/2009	08/11/2009	6	13	3	2.1666666666666665
174420	ikz	0	0	0	0	13	0	10/13/2009	07/04/2011	630	13	0	0.020634920634920634
131	zool	13	5	0	0	0	0	11/01/2006	06/12/2007	223	13	5	0.05829596412556054
102316	nudge	11	5	2	0	0	0	03/31/2009	03/31/2009	1	13	5	13
92274	adjuva	4	4	9	7	0	0	01/17/2010	09/02/2011	594	13	11	0.021885521885521887
103957	Simonexxx83	0	0	0	0	13	0	06/04/2009	07/13/2009	39	13	0	0.3333333333333333
290487	DTeelde	0	0	0	0	13	0	09/19/2010	06/05/2011	260	13	0	0.05
34927	flohoff	0	0	0	0	13	0	06/14/2009	07/06/2009	23	13	0	0.5652173913043478
295994	natik	0	0	0	0	13	0	06/25/2010	03/04/2011	253	13	0	0.05138339920948617
254874	michelvd	11	10	2	0	0	0	03/31/2010	03/31/2010	1	13	10	13
153031	ajoessen	0	0	0	0	13	0	03/05/2010	08/30/2011	544	13	0	0.02389705882352941
454945	hvgorp	9	7	4	3	0	0	05/15/2011	05/15/2011	1	13	10	13
76587	nbuettler	0	0	0	0	13	0	12/09/2009	12/22/2009	14	13	0	0.9285714285714286
7418	Torstiko	0	0	0	0	12	0	11/12/2008	09/04/2009	297	12	0	0.04040404040404041
260682	monxton	11	11	1	1	0	0	02/23/2011	02/23/2011	1	12	12	12
107037	ulfm	8	1	4	0	0	0	07/14/2009	07/14/2009	1	12	1	12
75381	mikh43	0	0	0	0	12	0	11/01/2008	06/06/2009	218	12	0	0.05504587155963303
57134	Arie Scheffer	0	0	0	0	12	0	08/05/2008	10/08/2010	794	12	0	0.015113350125944584
28617	Vincy	0	0	2	2	10	0	02/15/2009	02/13/2011	728	12	2	0.016483516483516484
18069	Claudius Henrichs	12	7	0	0	0	0	07/17/2010	12/19/2010	156	12	7	0.07692307692307693
17508	robx	0	0	0	0	12	2	03/12/2008	03/12/2008	1	12	2	12
297482	don-vip	10	9	2	1	0	0	06/03/2011	06/03/2011	1	12	10	12
9581	Lobelt	0	0	0	0	11	0	07/17/2009	04/20/2011	642	11	0	0.017133956386292833
14434	aartjanszen	10	5	1	0	0	0	09/19/2010	10/13/2010	24	11	5	0.4583333333333333
21264	Pobice	0	0	0	0	11	0	10/28/2009	12/15/2009	49	11	0	0.22448979591836735
184366	keesj	2	1	9	8	0	0	10/12/2009	11/23/2009	43	11	9	0.2558139534883721
110046	freietonne-db	11	8	0	0	0	0	10/05/2009	07/20/2011	653	11	8	0.016845329249617153
57652	richardbrinkman	7	7	4	0	0	0	10/02/2008	10/02/2008	1	11	7	11
11374	q_un_go	0	0	0	0	11	0	01/18/2009	03/11/2010	418	11	0	0.02631578947368421
89493	Jaap_	6	4	5	1	0	0	01/05/2009	01/05/2009	1	11	5	11
447	erik	0	0	0	0	11	0	05/10/2009	04/29/2011	720	11	0	0.015277777777777777
65083	deep125	0	0	0	0	11	0	03/01/2009	12/27/2010	666	11	0	0.016516516516516516
360762	RWvD	10	7	0	0	0	0	10/19/2010	01/29/2011	103	10	7	0.0970873786407767
229989	raarts	10	8	0	0	0	0	02/06/2010	02/07/2010	2	10	8	5
221782	mfkne	7	4	3	0	0	0	01/20/2010	01/20/2010	1	10	4	10
34368	rschwarz	0	0	0	0	10	0	06/12/2009	06/13/2009	2	10	0	5
35258	Bastiaan Naber	10	6	0	0	0	0	07/20/2010	11/11/2010	114	10	6	0.08771929824561403
15252	Hugo_H	0	0	0	0	10	1	02/08/2009	03/04/2011	755	10	1	0.013245033112582781
186583	daryl70	0	0	0	0	10	0	10/17/2009	11/10/2009	25	10	0	0.4
42033	Tbj	0	0	0	0	10	0	03/05/2009	11/18/2010	623	10	0	0.016051364365971106
2675	Eckhart Wörner	0	0	0	0	9	0	07/12/2008	07/19/2008	8	9	0	1.125
54806	_al	7	3	2	0	0	0	07/09/2009	07/09/2009	1	9	3	9
158828	rüdi	0	0	0	0	9	0	08/26/2009	06/14/2011	658	9	0	0.013677811550151976
5735	ColinMarquardt	8	0	1	0	0	0	01/23/2008	01/23/2008	1	9	0	9
59819	Fuss-im-Ohr	8	1	1	0	0	0	02/16/2010	02/18/2010	2	9	1	4.5
132640	tilt	9	0	0	0	0	0	12/27/2010	12/27/2010	1	9	0	9
5211	emvee	8	5	1	0	0	0	09/07/2010	09/19/2010	13	9	5	0.6923076923076923
90488	ger4rd	6	5	3	0	0	0	08/09/2009	08/09/2009	1	9	5	9
279144	Roscanvel	2	2	7	7	0	0	01/26/2011	01/26/2011	1	9	9	9
13957	Grillo	0	0	0	0	9	0	05/02/2009	03/14/2010	317	9	0	0.028391167192429023
24965	Ævar Arnfjörð Bjarmason	8	3	1	0	0	0	08/28/2009	12/21/2010	481	9	3	0.018711018711018712
57468	josbraaksma	2	1	7	0	0	0	08/06/2008	08/06/2008	1	9	1	9
61891	stephankn	0	0	9	9	0	0	08/24/2009	08/24/2009	1	9	9	9
261040	Itamarp	8	0	1	0	0	0	08/04/2010	08/10/2010	6	9	0	1.5
12576	shane	5	2	1	1	3	1	06/01/2010	06/07/2010	6	9	4	1.5
6269	Mueck	0	0	0	0	9	0	04/29/2010	05/03/2010	5	9	0	1.8
174950	trekkwik	9	2	0	0	0	0	09/18/2009	10/07/2009	19	9	2	0.47368421052631576
6737	HansBakker	9	1	0	0	0	0	10/15/2007	11/04/2008	387	9	1	0.023255813953488372
94353	Fips	0	0	0	0	9	0	01/23/2010	03/18/2010	54	9	0	0.16666666666666666
193583	LSunter	2	0	7	4	0	0	11/04/2009	11/04/2009	1	9	4	9
470089	pitg600	0	0	0	0	9	0	08/04/2011	09/09/2011	36	9	0	0.25
72000	Kap Horn	0	0	0	0	9	0	11/19/2008	06/14/2011	938	9	0	0.009594882729211088
27338	Rene_A	0	0	0	0	9	0	04/04/2008	08/10/2010	858	9	0	0.01048951048951049
5359	user_5359	5	3	3	3	0	0	07/30/2010	05/18/2011	292	8	6	0.0273972602739726
34828	Digy	0	0	0	0	8	0	05/26/2009	04/07/2010	317	8	0	0.025236593059936908
141203	jeggert	0	0	0	0	8	0	07/31/2009	08/02/2009	2	8	0	4
194743	Lomonossof	0	0	0	0	8	0	11/30/2009	10/05/2010	309	8	0	0.025889967637540454
51916	Max B	0	0	0	0	8	0	03/30/2009	04/04/2010	371	8	0	0.0215633423180593
470854	DLP601	6	5	2	2	0	0	06/15/2011	06/16/2011	1	8	7	8
33847	Netwave	0	0	0	0	8	0	12/13/2010	01/07/2011	25	8	0	0.32
196004	sylvester333	7	0	1	0	0	0	11/13/2009	05/24/2010	192	8	0	0.041666666666666664
32305	joep	0	0	0	0	8	0	05/15/2011	07/02/2011	49	8	0	0.16326530612244897
62804	enoxyz	0	0	8	0	0	0	08/28/2008	08/28/2008	1	8	0	8
16430	Frankas	0	0	0	0	8	0	09/21/2009	10/31/2009	41	8	0	0.1951219512195122
448252	thomie	4	4	4	4	0	0	07/07/2011	07/07/2011	1	8	8	8
296052	Remco Nabuurs	5	2	3	2	0	0	06/01/2010	06/01/2010	1	8	4	8
10752	Filip	6	0	2	0	0	0	11/04/2009	11/04/2009	1	8	0	8
8082	Pim Moerenhout	8	8	0	0	0	0	06/13/2007	06/18/2007	5	8	8	1.6
6809	TimSC	8	6	0	0	0	0	05/07/2007	09/14/2009	862	8	6	0.009280742459396751
47710	joepiedepoepie	8	6	0	0	0	0	05/26/2011	05/26/2011	1	8	6	8
211350	AnastasiaGri	6	0	1	1	0	0	12/23/2009	12/23/2009	1	7	1	7
163573	Syt	6	0	1	0	0	0	08/27/2009	08/27/2009	1	7	0	7
220433	OP13	0	0	0	0	7	0	04/22/2010	05/20/2010	29	7	0	0.2413793103448276
89041	jorchr	0	0	0	0	7	0	12/09/2009	12/20/2009	11	7	0	0.6363636363636364
483481	Vonno	7	4	0	0	0	0	07/06/2011	07/06/2011	1	7	4	7
251236	percivjr	5	0	2	0	0	0	03/24/2010	04/04/2010	11	7	0	0.6363636363636364
32413	Ees	2	0	4	0	1	0	06/25/2009	05/26/2010	336	7	0	0.020833333333333332
444791	janjongenelen	1	1	6	4	0	0	04/26/2011	04/27/2011	1	7	5	7
199455	Veling	7	1	0	0	0	0	11/19/2009	11/19/2009	1	7	1	7
170106	sanchi	0	0	7	3	0	0	01/10/2010	01/10/2010	1	7	3	7
456010	scott krevat	4	4	3	2	0	0	05/17/2011	05/17/2011	1	7	6	7
39240	Seehundeführer	0	0	0	0	7	0	02/03/2010	02/26/2010	23	7	0	0.30434782608695654
327498	HanW	0	0	0	0	7	0	08/29/2010	04/23/2011	238	7	0	0.029411764705882353
137093	Алексей	0	0	0	0	7	0	06/29/2009	07/26/2009	28	7	0	0.25
25631	Aguila	6	0	1	0	0	0	01/30/2008	01/30/2008	1	7	0	7
118082	Co Ordinaat	5	2	2	1	0	0	05/08/2009	05/10/2009	2	7	3	3.5
17427	dysteleologist	0	0	0	0	7	0	06/27/2009	06/27/2009	1	7	0	7
140650	neutron	0	0	0	0	7	0	07/02/2009	10/20/2009	111	7	0	0.06306306306306306
26726	lonvia	0	0	0	0	7	0	04/23/2009	02/13/2011	662	7	0	0.010574018126888218
483075	lyctkel	0	0	0	0	7	5	08/31/2011	09/05/2011	6	7	5	1.1666666666666667
249247	erherb	5	3	2	0	0	0	03/19/2010	03/19/2010	1	7	3	7
20863	Chemm	6	0	1	0	0	0	12/04/2007	12/04/2007	1	7	0	7
14113	Abuls	0	0	0	0	7	0	07/25/2009	11/28/2009	126	7	0	0.05555555555555555
149841	sjako	7	6	0	0	0	0	06/05/2011	06/05/2011	1	7	6	7
65148	tixuwuoz	7	3	0	0	0	0	09/01/2010	09/20/2010	20	7	3	0.35
257326	Carlo069	0	0	0	0	7	0	04/12/2010	09/21/2010	162	7	0	0.043209876543209874
13944	bass	4	0	0	0	2	0	03/26/2008	04/03/2011	1104	6	0	0.005434782608695652
44658	bmichel	6	2	0	0	0	0	07/14/2009	09/30/2009	78	6	2	0.07692307692307693
60345	Mirko Küster	0	0	1	0	5	0	10/29/2009	03/23/2010	145	6	0	0.041379310344827586
313900	Stud555	0	0	0	0	6	0	02/15/2011	05/02/2011	77	6	0	0.07792207792207792
41098	Cyclop	0	0	0	0	6	0	10/27/2008	03/03/2011	857	6	0	0.007001166861143524
253275	JanUitSneek	0	0	0	0	6	0	04/22/2010	05/12/2010	21	6	0	0.2857142857142857
161554	dcusters	6	5	0	0	0	0	07/04/2010	07/04/2010	1	6	5	6
221387	baeuchle	0	0	0	0	6	0	03/08/2010	07/23/2010	137	6	0	0.043795620437956206
14561	HarryS	6	5	0	0	0	0	05/12/2010	05/12/2010	1	6	5	6
360643	Joannie	5	4	1	0	0	0	10/19/2010	10/19/2010	1	6	4	6
60971	MacSass	6	0	0	0	0	0	05/06/2009	05/06/2009	1	6	0	6
30854	Zambelli Limitada	5	1	1	0	0	0	07/16/2009	07/16/2009	1	6	1	6
307072	bouman	6	2	0	0	0	0	06/20/2010	06/20/2010	1	6	2	6
210544	jmvl	0	0	0	0	6	0	01/11/2010	03/06/2010	54	6	0	0.1111111111111111
75217	aMuTeX	0	0	0	0	6	0	04/02/2009	02/15/2011	685	6	0	0.008759124087591242
253912	bogenfreund	6	3	0	0	0	0	09/10/2010	09/10/2010	1	6	3	6
57387	WOOO	4	2	2	2	0	0	04/09/2010	04/25/2010	17	6	4	0.35294117647058826
95702	Balgofil	0	0	6	6	0	0	07/30/2011	07/30/2011	1	6	6	6
385716	Juice10	4	2	2	0	0	0	12/19/2010	12/19/2010	1	6	2	6
13445	zorque	0	0	0	0	6	0	05/20/2009	07/11/2009	53	6	0	0.11320754716981132
94786	glebius	0	0	0	0	6	0	04/22/2009	02/09/2011	658	6	0	0.00911854103343465
47595	LeonO	1	0	5	0	0	0	06/25/2008	09/28/2009	461	6	0	0.013015184381778741
9836	jeroen020	5	0	1	0	0	0	07/06/2007	07/06/2007	1	6	0	6
211063	michel60	0	0	0	0	6	0	12/24/2009	03/31/2010	98	6	0	0.061224489795918366
61954	pierlux	5	2	1	0	0	0	07/14/2009	07/14/2009	1	6	2	6
197627	triggerfish	1	0	5	0	0	0	02/15/2010	03/25/2010	39	6	0	0.15384615384615385
411621	grathemermolen	0	0	0	0	6	0	02/25/2011	03/07/2011	10	6	0	0.6
24920	Schusch	0	0	0	0	6	0	07/20/2008	01/06/2009	171	6	0	0.03508771929824561
5079	friedel_hn	5	1	1	1	0	0	07/14/2009	07/14/2009	1	6	2	6
186546	Corrio	4	0	2	0	0	0	10/16/2009	10/17/2009	1	6	0	6
41822	Eric K	2	0	4	0	0	0	07/19/2009	07/19/2009	1	6	0	6
60769	Oksion	0	0	0	0	5	0	04/13/2010	03/05/2011	327	5	0	0.01529051987767584
497456	altrevolte	4	4	1	1	0	0	07/30/2011	07/30/2011	1	5	5	5
104779	ABRob	0	0	0	0	5	0	09/12/2010	07/09/2011	301	5	0	0.016611295681063124
115477	wowik	0	0	0	0	5	0	02/16/2010	05/05/2011	444	5	0	0.01126126126126126
864	Niccolo	0	0	0	0	5	0	05/13/2009	09/06/2010	481	5	0	0.010395010395010396
106359	Suomi	4	0	1	0	0	0	03/17/2009	03/17/2009	1	5	0	5
70202	physiocrat	0	0	0	0	5	0	01/18/2010	04/21/2010	94	5	0	0.05319148936170213
1185	dankarran	5	1	0	0	0	0	11/14/2009	11/14/2009	1	5	1	5
55521	Ebbe73	0	0	0	0	5	0	03/14/2010	03/15/2010	2	5	0	2.5
90689	HansJ	5	5	0	0	0	0	08/28/2011	08/28/2011	1	5	5	5
16319	ipodolsk	0	0	0	0	5	0	05/14/2011	06/19/2011	37	5	0	0.13513513513513514
4388	hakan	0	0	0	0	5	0	04/18/2008	04/18/2008	1	5	0	5
1204	cp15	0	0	0	0	5	0	08/26/2009	08/26/2009	1	5	0	5
156335	mapraev	0	0	0	0	5	0	08/12/2009	08/13/2009	2	5	0	2.5
144892	plantagenet	5	4	0	0	0	0	04/01/2010	04/01/2010	1	5	4	5
9882	cate	0	0	0	0	5	0	08/18/2010	09/27/2010	40	5	0	0.125
25853	Freddi	0	0	0	0	5	0	06/16/2009	05/20/2011	704	5	0	0.007102272727272727
28054	Ed Kapitein	5	0	0	0	0	0	02/22/2008	02/24/2008	2	5	0	2.5
10613	ivom	1	0	1	1	3	0	08/06/2009	05/29/2010	296	5	1	0.016891891891891893
10075	robtiggelman	4	1	1	0	0	0	07/08/2007	07/08/2007	1	5	1	5
150589	Lumen24	0	0	0	0	5	0	07/28/2009	07/28/2009	1	5	0	5
61588	richlv2	0	0	0	0	5	0	10/19/2008	10/19/2008	1	5	0	5
39381	DD1GJ	0	0	0	0	5	0	08/04/2008	12/12/2010	860	5	0	0.005813953488372093
61341	Bürste	0	0	0	0	5	0	05/04/2009	09/11/2009	130	5	0	0.038461538461538464
279457	Piddi	1	1	4	2	0	0	08/27/2010	08/27/2010	1	5	3	5
20587	balrog-kun	0	0	0	0	5	4	08/28/2009	09/18/2009	21	5	4	0.23809523809523808
125299	nitrix	0	0	0	0	5	0	08/24/2009	10/23/2010	426	5	0	0.011737089201877934
197352	Oscar Koeroo	4	1	1	0	0	0	11/15/2009	11/16/2009	1	5	1	5
58095	BudBundi	0	0	0	0	5	0	02/27/2009	05/04/2010	431	5	0	0.01160092807424594
37607	jcdekoning	2	1	3	0	0	0	05/14/2008	05/14/2008	1	5	1	5
292369	fiabo	5	4	0	0	0	0	05/25/2010	05/25/2010	1	5	4	5
47888	Gwilbor	0	0	0	0	5	0	12/23/2009	02/25/2010	64	5	0	0.078125
16587	a1e	0	0	0	0	5	0	04/11/2009	04/13/2009	2	5	0	2.5
151304	dac	0	0	0	0	5	0	10/16/2009	10/23/2010	373	5	0	0.013404825737265416
395228	Antisida	0	0	0	0	5	0	03/02/2011	09/04/2011	187	5	0	0.026737967914438502
197207	Bram van der Sar	4	4	1	1	0	0	09/01/2010	09/01/2010	1	5	5	5
404135	erol999	4	1	0	0	0	0	02/04/2011	02/04/2011	1	4	1	4
293774	Oli-Wan	1	0	0	0	3	0	06/20/2010	03/24/2011	277	4	0	0.01444043321299639
99328	wnX08hgh2TJ	0	0	0	0	4	0	02/13/2009	02/13/2009	1	4	0	4
30590	KekcuHa	0	0	0	0	4	0	05/27/2009	07/03/2009	38	4	0	0.10526315789473684
220591	kilex	0	0	0	0	4	0	01/19/2010	06/22/2010	154	4	0	0.025974025974025976
20622	Sebastian Reichel	0	0	0	0	4	0	02/24/2009	03/13/2011	748	4	0	0.0053475935828877
8324	theun	1	1	0	0	3	0	09/30/2009	08/22/2010	327	4	1	0.012232415902140673
33377	Victor LP	4	0	0	0	0	0	08/13/2009	08/13/2009	1	4	0	4
51045	Geogast	0	0	0	0	4	1	04/29/2009	09/13/2011	867	4	1	0.00461361014994233
36731	Nagi	3	0	1	0	0	0	04/22/2009	04/22/2009	1	4	0	4
162148	spatialist	0	0	0	0	4	0	08/15/2010	08/15/2010	1	4	0	4
75471	mapoholic	0	0	0	0	4	0	10/26/2008	10/26/2008	1	4	0	4
93285	skela	0	0	0	0	4	0	09/17/2009	10/23/2009	36	4	0	0.1111111111111111
21404	David Jaco	4	1	0	0	0	0	12/10/2007	01/10/2008	31	4	1	0.12903225806451613
426459	spiet	4	1	0	0	0	0	03/23/2011	03/27/2011	4	4	1	1
246089	veertien	2	2	2	0	0	0	03/13/2010	03/13/2010	1	4	2	4
106847	nixgut	0	0	4	3	0	0	08/24/2009	08/24/2009	1	4	3	4
43972	chris66	0	0	0	0	4	0	10/28/2010	11/14/2010	18	4	0	0.2222222222222222
189273	zaatlob	0	0	4	0	0	0	02/28/2011	04/04/2011	36	4	0	0.1111111111111111
53261	Fidgit	2	0	2	0	0	0	01/12/2009	01/12/2009	1	4	0	4
10345	Mormegil	0	0	0	0	4	0	09/05/2009	10/18/2009	43	4	0	0.09302325581395349
